day,positive,death
54,4,1
55,10,1
56,14,1
57,26,1
58,34,1
59,59,1
60,85,1
61,121,1
62,166,2
63,228,2
64,282,3
65,401,8
66,525,10
67,674,17
68,1231,30
69,1695,26
70,2277,55
71,3146,86
72,5232,133
73,6391,196
74,7988,294
75,9942,342
76,11826,533
77,14769,638
78,18077,833
79,21571,1093
80,25496,1381
81,29909,1813
82,35480,2342
83,42058,2994
84,49515,3647
