day,positive,death
55,12,1
56,18,1
57,38,1
58,57,1
59,100,1
60,130,2
61,191,2
62,212,4
63,285,4
64,423,7
65,613,9
66,949,16
67,1126,21
68,1421,25
69,1784,33
70,2281,48
71,2876,61
72,3661,75
73,4499,91
74,5423,127
75,6633,148
76,7730,175
77,9134,244
78,10995,372
79,12612,450
80,14459,562
81,16689,674
82,19856,860
83,22302,1100
84,25233,1331
